leaf,init,plan,apply,retry,note
azure/dev/02.storage/monitoring,ok,fail,skip,none,plan_failed
azure/dev/03.shared-services/log-analytics,ok,ok,ok,none,applied
azure/dev/03.shared-services/shared,ok,ok,ok,none,applied
azure/dev/04.apim/workload,ok,ok,ok,none,applied
azure/dev/05.ai-services/workload,ok,ok,ok,none,applied
azure/dev/06.compute/linux-monitoring-vm,ok,ok,fail,none,apply_failed_nonimport
azure/dev/06.compute/windows-example,ok,fail,skip,none,plan_failed
azure/dev/07.identity/group-membership/admin-core,ok,ok,ok,none,applied
azure/dev/07.identity/group-membership/ai-developer-core,ok,ok,ok,none,applied
azure/dev/08.rbac/authorization/hub-assignments,ok,ok,ok,none,applied
azure/dev/08.rbac/authorization/spoke-assignments,ok,ok,ok,none,applied
azure/dev/08.rbac/group/admin-hub-scope,ok,ok,ok,none,applied
azure/dev/08.rbac/group/ai-developer-spoke-scope,ok,ok,ok,none,applied
azure/dev/08.rbac/principal/hub-assignments,fail,skip,skip,none,init_failed
azure/dev/08.rbac/principal/spoke-assignments,ok,ok,ok,none,applied
azure/dev/09.connectivity/diagnostics/hub,ok,fail,skip,none,plan_failed
azure/dev/09.connectivity/peering/hub-to-spoke,ok,ok,ok,none,applied
azure/dev/09.connectivity/peering/spoke-to-hub,ok,ok,fail,none,apply_failed_nonimport
