"wave","leaf","has_tfvars","init_status","plan_status","error_type","error_message","init_log","plan_log"
"01.network","azure/dev/01.network/resource-group/hub-rg","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__resource-group__hub-rg__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__resource-group__hub-rg__plan.log"
"01.network","azure/dev/01.network/resource-group/spoke-rg","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__resource-group__spoke-rg__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__resource-group__spoke-rg__plan.log"
"01.network","azure/dev/01.network/route/hub-route-default","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__route__hub-route-default__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__route__hub-route-default__plan.log"
"01.network","azure/dev/01.network/route/spoke-route-default","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__route__spoke-route-default__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__route__spoke-route-default__plan.log"
"01.network","azure/dev/01.network/security-group/application-security-group/keyvault-clients","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__application-security-group__keyvault-clients__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__application-security-group__keyvault-clients__plan.log"
"01.network","azure/dev/01.network/security-group/application-security-group/vm-allowed-clients","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__application-security-group__vm-allowed-clients__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__application-security-group__vm-allowed-clients__plan.log"
"01.network","azure/dev/01.network/security-group/network-security-group/keyvault-standalone","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__network-security-group__keyvault-standalone__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__network-security-group__keyvault-standalone__plan.log"
"01.network","azure/dev/01.network/security-group/security-policy/hub-sg-policy-default","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__security-policy__hub-sg-policy-default__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__security-policy__hub-sg-policy-default__plan.log"
"01.network","azure/dev/01.network/security-group/security-policy/spoke-sg-policy-default","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__security-policy__spoke-sg-policy-default__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__security-group__security-policy__spoke-sg-policy-default__plan.log"
"01.network","azure/dev/01.network/subnet/hub-appgateway-subnet","False","SKIP","FAIL","missing_tfvars","terraform.tfvars not found","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__subnet__hub-appgateway-subnet__init.log","C:\Users\nonoc\OneDrive\바탕 화면\challenge\terraform-iac\.cursor\artifacts\wave_plan_logs_full\azure__dev__01.network__subnet__hub-appgateway-subnet__plan.log"
